Date,Open,High,Low,Close,Adj Close,Volume
2010-12-10,178500.000000,181000.000000,178000.000000,179000.000000,165823.812500,306899
2010-12-13,179500.000000,180000.000000,175500.000000,177500.000000,164434.218750,329898
2010-12-14,176000.000000,177000.000000,172500.000000,173500.000000,160728.640625,789824
2010-12-15,174000.000000,175500.000000,168500.000000,170500.000000,157949.484375,1032246
2010-12-16,169000.000000,172000.000000,168500.000000,170000.000000,157486.312500,446891
2010-12-17,171000.000000,172500.000000,170500.000000,170500.000000,157949.484375,322359
2010-12-20,167000.000000,169500.000000,166000.000000,168500.000000,156096.718750,533787
2010-12-21,171000.000000,171500.000000,170000.000000,170500.000000,157949.484375,350029
2010-12-22,169500.000000,172000.000000,169000.000000,169000.000000,156559.921875,301819
2010-12-23,168500.000000,169500.000000,166000.000000,166500.000000,154243.906250,318888
2010-12-24,166000.000000,168000.000000,162500.000000,162500.000000,150538.359375,461931
2010-12-27,162000.000000,166500.000000,161500.000000,165500.000000,153317.546875,332703
2010-12-28,166500.000000,169500.000000,166000.000000,168500.000000,156096.718750,395044
2010-12-29,169500.000000,171000.000000,168000.000000,169500.000000,158528.406250,207523
2010-12-30,170000.000000,170500.000000,167000.000000,168000.000000,157125.500000,275885
2011-01-03,169500.000000,178000.000000,169500.000000,178000.000000,166478.218750,883910
2011-01-04,178500.000000,181000.000000,176000.000000,179000.000000,167413.500000,764505
2011-01-05,178000.000000,178500.000000,175000.000000,178000.000000,166478.218750,451471
2011-01-06,180500.000000,184500.000000,179000.000000,180500.000000,168816.406250,844752
2011-01-07,180500.000000,182000.000000,177500.000000,178000.000000,166478.218750,395292
2011-01-10,176500.000000,178000.000000,173000.000000,174000.000000,162737.156250,633412
2011-01-11,172000.000000,173000.000000,168500.000000,169000.000000,158060.796875,926440
2011-01-12,169500.000000,172000.000000,169000.000000,169500.000000,158528.406250,525995
2011-01-13,171500.000000,173500.000000,169000.000000,170000.000000,158996.062500,487437
